1992.224,-9.9,3.7,170.2,3.8
1994.314,-33.7,3.7,177.5,2.9
1995.534,-41.8,3.,170.3,3.5
1996.253,-47.6,2.9,162.2,2.6
1996.427,-50.3,1.7,160.2,4.4
1997.544,-63.3,2.9,128.7,2.5
1998.373,-69.2,3.5,120.4,2.5
1999.465,-71.2,3.7,104.2,3.5
2000.472,-58.7,4.1,62.,2.4
2000.523,-67.,2.5,56.5,2.5
2001.502,-52.4,3.2,22.,1.6
2002.25,-8.1,4.5,-14.4,4.5
2002.335,4.,3.,-9.7,3.
2002.393,13.7,4.3,-2.1,4.3
2002.409,15.5,3.7,-0.1,3.7
2002.412,14.7,3.7,0.2,3.7
2002.414,14.7,3.7,1.,3.7
2002.488,24.9,9.,12.9,8.4
2002.578,28.1,3.7,18.5,3.7
2002.66,31.4,3.6,24.7,3.6
2002.66,31.2,3.6,25.2,3.6
2003.214,38.6,0.4,64.5,0.4
2003.351,39.,0.4,72.9,0.4
2003.356,38.3,0.4,72.7,0.4
2003.446,38.2,0.6,77.7,0.6
2003.451,38.9,0.5,78.3,0.5
2003.452,39.1,0.4,78.4,0.4
2003.454,38.5,0.4,78.5,0.4
2003.454,38.9,0.4,79.7,0.4
2003.55,38.6,0.4,83.2,0.4
2003.676,38.3,0.4,89.7,0.4
2003.678,38.8,0.7,89.5,0.7
2003.761,37.7,0.5,94.7,0.5
2004.24,35.,1.,111.1,1.
2004.325,34.7,0.3,114.1,0.3
2004.347,33.9,0.4,115.5,0.4
2004.443,33.9,0.4,118.3,0.4
2004.511,33.,0.4,120.6,0.4
2004.513,33.2,0.4,121.,0.4
2004.516,33.4,0.5,121.,0.5
2004.516,33.1,0.6,121.,0.7
2004.574,32.2,0.4,122.7,0.4
2004.574,32.2,0.6,121.8,0.6
2004.664,31.5,0.3,125.1,0.3
2004.67,31.9,0.5,125.3,0.5
2004.73,31.1,0.3,127.2,0.3
2004.73,31.8,0.8,126.8,0.8
2005.27,26.,0.4,141.,0.4
2005.366,25.1,0.4,143.1,0.4
2005.371,24.7,0.4,143.3,0.4
2005.374,24.7,0.5,143.3,0.5
2005.467,24.3,0.4,144.9,0.4
2005.57,23.5,0.4,146.9,0.4
2005.576,23.,0.4,147.3,0.4
2006.324,15.7,0.9,159.7,0.7
2007.545,1.3,1.,173.6,0.8
2007.55,2.6,0.5,173.1,0.5
2007.686,1.,0.6,173.9,0.6
2007.687,0.4,0.6,173.9,0.6
2008.148,-6.,0.4,177.,0.4
2008.197,-6.5,0.4,177.,0.4
2008.268,-7.4,0.4,178.,0.4
2008.456,-9.7,0.4,178.2,0.3
2008.472,-9.4,0.4,178.6,0.4
2008.473,-9.,0.5,178.2,0.5
2008.593,-10.,1.6,177.6,1.4
2008.601,-11.8,0.4,178.2,0.4
2008.708,-12.6,0.4,179.2,0.4
2009.185,-18.4,0.8,179.1,0.8
2009.273,-19.1,0.4,179.2,0.4
2009.3,-19.6,0.4,179.3,0.4
2009.303,-19.3,0.4,179.6,0.4
2009.336,-19.4,0.4,179.2,0.4
2009.336,-19.5,0.4,179.2,0.4
