2000.487,1199,113
2002.418,-495,45
2002.421,-530,51
2003.271,-1571,59
2003.353,-1512,40
2003.446,-1428,51
2004.535,-1055,46
2004.537,-1056,37
2004.632,-1039,39
2005.158,-1001,77
2005.212,-960,37
2005.215,-910,54
2005.455,-839,60
2005.461,-907,43
2005.677,-774,77
2005.769,-860,58
2006.204,-702,42
2006.305,-718,77
2006.624,-658,57
2007.23,-586,57
2007.304,-537,57
2007.55,-505,57
2007.673,-482,57
2008.262,-394,27
2008.431,-425,62
2009.385,-241,45
2010.354,-134,27
2011.317,-3,34
2011.567,35,57
2012.21,185,34
2012.342,167,34
2012.494,195,34
2012.513,186,34
2012.705,190,45
2013.262,313,23
2013.655,361,45
2013.726,384,34
2014.185,490,28
2014.263,515,34
2014.521,568,17
2015.299,765,23
2015.706,869,45
2016.284,1081,45
2016.519,1198,34
